AvailabilityZone,InstanceType,ProductDescription,SpotPrice,Timestamp
ap-southeast-2a,r5.12xlarge,Linux/UNIX (Amazon VPC),0.9096,2019-12-31
ap-southeast-2b,r5d.4xlarge,Windows (Amazon VPC),1.0392,2019-12-31
ap-southeast-2c,r5d.4xlarge,Windows (Amazon VPC),1.0392,2019-12-31
ap-southeast-2a,r5d.4xlarge,Windows (Amazon VPC),1.0392,2019-12-31
ap-southeast-2b,r5ad.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4332,2019-12-31
ap-southeast-2c,r5ad.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4332,2019-12-31
ap-southeast-2a,r5ad.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4332,2019-12-31
ap-southeast-2b,r5ad.4xlarge,SUSE Linux (Amazon VPC),0.4032,2019-12-31
ap-southeast-2c,r5ad.4xlarge,SUSE Linux (Amazon VPC),0.4032,2019-12-31
ap-southeast-2a,r5ad.4xlarge,SUSE Linux (Amazon VPC),0.4032,2019-12-31
ap-southeast-2b,r5ad.4xlarge,Linux/UNIX (Amazon VPC),0.3032,2019-12-31
ap-southeast-2c,r5ad.4xlarge,Linux/UNIX (Amazon VPC),0.3032,2019-12-31
ap-southeast-2a,r5ad.4xlarge,Linux/UNIX (Amazon VPC),0.3032,2019-12-31
ap-southeast-2b,r5.12xlarge,Windows (Amazon VPC),3.1176,2019-12-31
ap-southeast-2c,r5.12xlarge,Windows (Amazon VPC),3.1176,2019-12-31
ap-southeast-2a,r5.12xlarge,Windows (Amazon VPC),3.1176,2019-12-31
ap-southeast-2b,r5ad.4xlarge,Windows (Amazon VPC),1.0392,2019-12-31
ap-southeast-2c,r5ad.4xlarge,Windows (Amazon VPC),1.0392,2019-12-31
ap-southeast-2a,r5ad.4xlarge,Windows (Amazon VPC),1.0392,2019-12-31
ap-southeast-2b,r5d.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4332,2019-12-31
ap-southeast-2c,r5d.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4332,2019-12-31
ap-southeast-2a,r5d.4xlarge,Red Hat Enterprise Linux (Amazon VPC),0.4332,2019-12-31
ap-southeast-2b,r5d.4xlarge,SUSE Linux (Amazon VPC),0.4032,2019-12-31
ap-southeast-2c,r5d.4xlarge,SUSE Linux (Amazon VPC),0.4032,2019-12-31
ap-southeast-2a,r5d.4xlarge,SUSE Linux (Amazon VPC),0.4032,2019-12-31
ap-southeast-2b,r5d.4xlarge,Linux/UNIX (Amazon VPC),0.3032,2019-12-31
ap-southeast-2c,r5d.4xlarge,Linux/UNIX (Amazon VPC),0.3032,2019-12-31
ap-southeast-2a,r5d.4xlarge,Linux/UNIX (Amazon VPC),0.3032,2019-12-31
ap-southeast-2b,r5a.large,Windows (Amazon VPC),0.1299,2019-12-31
ap-southeast-2c,r5a.large,Windows (Amazon VPC),0.228,2019-12-31
ap-southeast-2a,r5a.large,Windows (Amazon VPC),0.1299,2019-12-31
ap-southeast-2b,r5a.large,Red Hat Enterprise Linux (Amazon VPC),0.0979,2019-12-31
ap-southeast-2c,r5a.large,Red Hat Enterprise Linux (Amazon VPC),0.196,2019-12-31
ap-southeast-2a,r5a.large,Red Hat Enterprise Linux (Amazon VPC),0.0979,2019-12-31
ap-southeast-2b,r5a.large,SUSE Linux (Amazon VPC),0.1379,2019-12-31
ap-southeast-2c,r5a.large,SUSE Linux (Amazon VPC),0.236,2019-12-31
ap-southeast-2a,r5a.large,SUSE Linux (Amazon VPC),0.1379,2019-12-31
ap-southeast-2b,r5a.large,Linux/UNIX (Amazon VPC),0.0379,2019-12-31
ap-southeast-2c,r5a.large,Linux/UNIX (Amazon VPC),0.136,2019-12-31
ap-southeast-2a,r5a.large,Linux/UNIX (Amazon VPC),0.0379,2019-12-31
ap-southeast-2b,c1.xlarge,Red Hat Enterprise Linux,0.785,2019-12-31
ap-southeast-2a,c1.xlarge,Red Hat Enterprise Linux,0.1955,2019-12-31
ap-southeast-2b,c1.xlarge,SUSE Linux,0.755,2019-12-31
ap-southeast-2a,c1.xlarge,SUSE Linux,0.1655,2019-12-31
ap-southeast-2b,c1.xlarge,Linux/UNIX,0.655,2019-12-31
ap-southeast-2a,c1.xlarge,Linux/UNIX,0.0655,2019-12-31
ap-southeast-2b,c1.xlarge,Windows,1.065,2019-12-31
ap-southeast-2a,c1.xlarge,Windows,0.4755,2019-12-31
ap-southeast-2b,c1.xlarge,Windows (Amazon VPC),1.065,2019-12-31
ap-southeast-2a,c1.xlarge,Windows (Amazon VPC),0.4755,2019-12-31
ap-southeast-2b,c1.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.785,2019-12-31
ap-southeast-2a,c1.xlarge,Red Hat Enterprise Linux (Amazon VPC),0.1955,2019-12-31
ap-southeast-2b,c1.xlarge,SUSE Linux (Amazon VPC),0.755,2019-12-31
ap-southeast-2a,c1.xlarge,SUSE Linux (Amazon VPC),0.1655,2019-12-31
ap-southeast-2b,c1.xlarge,Linux/UNIX (Amazon VPC),0.655,2019-12-31
ap-southeast-2a,c1.xlarge,Linux/UNIX (Amazon VPC),0.0655,2019-12-31
ap-southeast-2b,m5ad.24xlarge,Windows (Amazon VPC),6.1525,2019-12-31
ap-southeast-2c,m5ad.24xlarge,Windows (Amazon VPC),6.1525,2019-12-31
ap-southeast-2a,m5ad.24xlarge,Windows (Amazon VPC),6.1525,2019-12-31
